station_1,station_2,station_3,station_4,station_5,station_6
1,2
1,2,3
1,2,3
1,2,3
2,3
3
1,2,3
1,2,11
2,11,14
11,14,15
1,2,3
2,3,5,10
1,2,11
1,2,11
2,11,14
1,2,11
2,11,14
11,14,15
14,15
1,2,3
2,3,5,10
3,5,10
2,3
3
2,11,14
11,14,15
2,3,5,10
2,11,14
2,11,14
11,14,15
14,15
2,3,5,10
3,5,10
3
11,14,15
11,14,15
14,15
3,5,10
2,1,8
9,12,15
3,2,1,18
3,2,1
2,1,8
3,2,1
3,2
3,9,12,15
3,9,12
3,9,12,15
9,12,15
3,2,1
3,2,1,8
2,1,8
3,2
3,9,12,15
3,9,12,15
9,12,15
18,1,2,3
1,2,3
2,3
3
18,1,2,3,5
18,1,2,11
1,2,11,14
2,11,14
11,14,15
18,1,2,3,5,10
1,2,3,5,10
2,3,5,10
18,1,2,11
1,2,11
18,1,2,11
1,2,11,14
2,11,14
18,1,2,11
1,2,11,14
2,11,14
11,14,15
14,15
18,1,2,3,5,10
1,2,3,5,10
2,3,5,10
3,5,10
8,11
11,14,15
8,1,2
1,2,3,5
8,11
11,14,15
8,1,2
1,2,3,5,10
2,3,5,10
8,11
8,11
11,14
8,11
11,14,15
14,15
8,1,2
1,2,3,5,10
2,3,5,10
3,5,10
11,14,15
1,2,3,5
11,14,15
1,2,3,5,10
2,3,5,10
11,14
11,14,15
14,15
1,2,3,5,10
2,3,5,10
3,5,10
3
5,3,2
3,2
5,3,9,12,15
3,9,12,15
5,3,9,12,15
3,9,12,15
9,12,15
2,3,5
14,15
14,15,12,9
9,17,10
15,14,11,2
14,11,2
11,2,1
10,5,3,9
5,3,9,12,15
3,9,12,15
10,5,3,9
10,5,3,9
5,3,9,12,15
3,9,12,15
9,12,15
10,5,3,2
11,2,1
14,11,2
11,2,1
15,12,9
15,14,11
14,11,2
11,2,1
10,5,3
